Pattern, Support-Frequence
[[[['Piena_T0_0'], ['Vuota_T1_3,Piena_T1_3,Piena_T1_3'], ['Piena_T2_3']]], ['0.9782809611829945-42340']]
[[[['Vuota_T0_3,Piena_T0_0'], ['Vuota_T1_1,Vuota_T1_0'], ['Vuota_T2_3']]], ['0.9782608695652174-1440']]
[[[['Vuota_T0_0'], ['Vuota_T1_2,Vuota_T1_2'], ['Vuota_T2_3']]], ['0.9781958473918236-280931']]
[[[['Piena_T0_0'], ['Piena_T1_3,Piena_T1_3'], ['Piena_T2_3']]], ['0.9781390900396228-50113']]
[[[['Vuota_T0_3,Vuota_T0_0'], ['Vuota_T1_1,Piena_T1_0'], ['Vuota_T2_3']]], ['0.9780755176613886-803']]
[[[['Vuota_T0_0'], ['Piena_T1_1,Piena_T1_1,Piena_T1_0'], ['Piena_T2_1']]], ['0.9780487804878049-401']]
[[[['Vuota_T0_1,Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_0'], ['Vuota_T2_3']]], ['0.978-978']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_3'], ['Vuota_T2_3']]], ['0.9779605829364851-136359']]
[[[['Vuota_T0_3,Vuota_T0_0'], ['Vuota_T1_2,Vuota_T1_0'], ['Vuota_T2_2']]], ['0.9779023907292292-241006']]
[[[['Vuota_T0_0,Piena_T0_0'], ['Vuota_T1_2,Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9779005524861878-708']]
[[[['Vuota_T0_0'], ['Vuota_T1_2,Vuota_T1_2,Piena_T1_2'], ['Vuota_T2_2']]], ['0.9778744458187983-70361']]
[[[['Vuota_T0_2,Vuota_T0_0'], ['Vuota_T1_2,Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9778473485110073-254872']]
[[[['Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_3,Vuota_T1_1'], ['Vuota_T2_3']]], ['0.977794448612153-19551']]
[[[['Vuota_T0_0,Vuota_T0_1'], ['Vuota_T1_2,Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9776177911497944-245647']]
[[[['Vuota_T0_2,Piena_T0_0'], ['Piena_T1_3,Piena_T1_3'], ['Piena_T2_3']]], ['0.9775845753489473-33058']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_2,Vuota_T1_0'], ['Vuota_T2_2']]], ['0.9775796384858556-241208']]
[[[['Vuota_T0_2,Vuota_T0_0'], ['Vuota_T1_1,Vuota_T1_0'], ['Vuota_T2_2']]], ['0.9775343037039388-215647']]
[[[['Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_3,Piena_T1_0'], ['Vuota_T2_3']]], ['0.9774806147560013-42104']]
[[[['Vuota_T0_2,Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_2'], ['Vuota_T2_2']]], ['0.9774126223386486-295508']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_0'], ['Vuota_T2_3']]], ['0.9773519163763066-1683']]
[[[['Vuota_T0_0'], ['Vuota_T1_0,Piena_T1_3,Piena_T1_0'], ['Vuota_T2_3']]], ['0.9772727272727273-129']]
[[[['Piena_T0_0'], ['Vuota_T1_2,Piena_T1_3,Piena_T1_3'], ['Piena_T2_3']]], ['0.9772706908395806-32720']]
[[[['Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_3,Piena_T1_3'], ['Vuota_T2_3']]], ['0.9772537910348276-117290']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_3,Vuota_T1_2'], ['Vuota_T2_2']]], ['0.9770750014539806-285600']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_2,Piena_T1_1'], ['Vuota_T2_3']]], ['0.9770281650603537-20883']]
[[[['Vuota_T0_3,Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_0'], ['Vuota_T2_3']]], ['0.9770114942528736-1955']]
[[[['Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_3,Piena_T1_0'], ['Vuota_T2_3']]], ['0.9767649687220733-1093']]
[[[['Vuota_T0_0,Piena_T0_1'], ['Vuota_T1_3,Vuota_T1_2'], ['Vuota_T2_3']]], ['0.9766533257099295-20498']]
[[[['Vuota_T0_0'], ['Vuota_T1_2,Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9766175686054914-258121']]
[[[['Vuota_T0_3,Vuota_T0_0'], ['Vuota_T1_1,Piena_T1_3'], ['Vuota_T2_3']]], ['0.9763007134106796-108385']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_2'], ['Vuota_T2_3']]], ['0.9761291274588815-85996']]
[[[['Vuota_T0_2,Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_0'], ['Vuota_T2_3']]], ['0.9759389671361502-1663']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_1,Piena_T1_0'], ['Vuota_T2_3']]], ['0.9759174311926605-851']]
