Pattern, Support-Frequence
[[[['Vuota_T0_0,Piena_T0_0'], ['Vuota_T1_2,Vuota_T1_2'], ['Vuota_T2_3']]], ['0.9756944444444444-1124']]
[[[['Vuota_T0_0,Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_0'], ['Vuota_T2_3']]], ['0.975609756097561-400']]
[[[['Vuota_T0_0'], ['Vuota_T1_1,Vuota_T1_1,Piena_T1_0'], ['Vuota_T2_3']]], ['0.975609756097561-360']]
[[[['Vuota_T0_2,Vuota_T0_0,Piena_T0_1'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9755370206420949-20936']]
[[[['Vuota_T0_0,Piena_T0_0'], ['Vuota_T1_1,Piena_T1_0'], ['Vuota_T2_3']]], ['0.9754601226993865-318']]
[[[['Vuota_T0_0,Piena_T0_3,Piena_T0_3,Piena_T0_1'], ['Piena_T1_3']]], ['0.975407590080833-14239']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_1,Piena_T1_1'], ['Vuota_T2_3']]], ['0.9754050361116533-14991']]
[[[['Vuota_T0_0'], ['Vuota_T1_2,Vuota_T1_2,Piena_T1_0'], ['Vuota_T2_3']]], ['0.9752593774940144-1222']]
[[[['Vuota_T0_0,Vuota_T0_1,Piena_T0_1'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9752528256989887-16394']]
[[[['Vuota_T0_2,Vuota_T0_0'], ['Vuota_T1_1,Piena_T1_0'], ['Vuota_T2_3']]], ['0.9752168525402726-787']]
[[[['Vuota_T0_0,Piena_T0_1'], ['Vuota_T1_3,Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9751812422441382-14931']]
[[[['Vuota_T0_2,Vuota_T0_2,Piena_T0_0'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9750783096114745-35487']]
[[[['Vuota_T0_3,Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_0'], ['Vuota_T2_3']]], ['0.9750519552327023-102281']]
[[[['Vuota_T0_1,Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_2'], ['Vuota_T2_3']]], ['0.97503444475062-17692']]
[[[['Vuota_T0_3,Vuota_T0_0'], ['Vuota_T1_0,Piena_T1_3'], ['Vuota_T2_3']]], ['0.9750343065348034-103027']]
[[[['Vuota_T0_2,Vuota_T0_1,Piena_T0_0'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9749838257494069-18084']]
[[[['Vuota_T0_0'], ['Vuota_T1_2,Vuota_T1_2,Piena_T1_3'], ['Vuota_T2_3']]], ['0.9749490919669201-117301']]
[[[['Vuota_T0_0,Piena_T0_3,Piena_T0_2'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9749436351716528-60972']]
[[[['Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_3,Piena_T1_2'], ['Vuota_T2_3']]], ['0.9749264893889031-61007']]
[[[['Vuota_T0_0,Vuota_T0_1'], ['Vuota_T1_1,Piena_T1_0'], ['Vuota_T2_3']]], ['0.9749009247027741-738']]
[[[['Vuota_T0_0,Vuota_T0_1'], ['Vuota_T1_3,Piena_T1_1'], ['Vuota_T2_3']]], ['0.9748932240563315-16891']]
[[[['Vuota_T0_0'], ['Vuota_T1_1,Piena_T1_0'], ['Vuota_T2_3']]], ['0.9747899159663865-812']]
[[[['Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_2,Vuota_T1_2'], ['Vuota_T2_3']]], ['0.974716133035909-116231']]
[[[['Vuota_T0_0'], ['Piena_T1_3,Piena_T1_3,Piena_T1_1'], ['Piena_T2_3']]], ['0.9746335586640787-14562']]
[[[['Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_3,Piena_T1_3'], ['Vuota_T2_3']]], ['0.9746178298164625-61014']]
[[[['Vuota_T0_3,Vuota_T0_0'], ['Vuota_T1_2,Piena_T1_3'], ['Vuota_T2_3']]], ['0.9745659085350942-127520']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_3,Piena_T1_2'], ['Vuota_T2_3']]], ['0.9744972793943695-61788']]
[[[['Vuota_T0_0'], ['Vuota_T1_2,Vuota_T1_2,Piena_T1_2'], ['Vuota_T2_3']]], ['0.9744972412547079-70118']]
[[[['Vuota_T0_3,Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_2'], ['Vuota_T2_3']]], ['0.9743955138228791-126497']]
[[[['Vuota_T0_2,Vuota_T0_2,Piena_T0_0'], ['Vuota_T1_0'], ['Vuota_T2_3']]], ['0.9743589743589743-1330']]
[[[['Vuota_T0_3,Vuota_T0_3,Vuota_T0_0'], ['Piena_T1_3'], ['Vuota_T2_3']]], ['0.9743408326245512-129448']]
[[[['Vuota_T0_3,Vuota_T0_2,Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_3']]], ['0.9742265529841656-79984']]
[[[['Vuota_T0_0,Piena_T0_1'], ['Vuota_T1_1,Piena_T1_0'], ['Vuota_T2_3']]], ['0.9741935483870968-302']]
[[[['Vuota_T0_0'], ['Vuota_T1_2,Vuota_T1_1,Piena_T1_0'], ['Vuota_T2_3']]], ['0.9741602067183462-754']]
[[[['Vuota_T0_0,Piena_T0_2,Piena_T0_2'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9741450068399453-35605']]
[[[['Vuota_T0_3,Piena_T0_0'], ['Vuota_T1_0,Piena_T1_2'], ['Vuota_T2_3']]], ['0.974124809741248-1280']]
[[[['Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_2,Vuota_T1_2'], ['Vuota_T2_3']]], ['0.9740383403581981-69559']]
[[[['Vuota_T0_0,Piena_T0_0'], ['Vuota_T1_3,Piena_T1_1'], ['Vuota_T2_3']]], ['0.9739583333333334-748']]
[[[['Vuota_T0_3,Vuota_T0_3,Vuota_T0_0,Piena_T0_3'], ['Vuota_T2_3']]], ['0.9737652681890601-128352']]
[[[['Vuota_T0_2,Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9737227068320963-17972']]
[[[['Vuota_T0_3,Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9736485972781875-64032']]
[[[['Vuota_T0_3,Vuota_T0_0,Piena_T0_1'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9736465437400017-23128']]
[[[['Vuota_T0_0,Piena_T0_3,Piena_T0_3,Piena_T0_0'], ['Piena_T1_3']]], ['0.973630831643002-960']]
