Pattern, Support-Frequence
[[[['QuasiPiena_T0_0,Piena_T0_3'], ['Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9926344194443644-103366']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_1,Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9926274076122017-96939']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_3,Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.992622551773209-79518']]
[[[['QuasiPiena_T0_3,QuasiPiena_T0_3,Piena_T0_0'], ['QuasiPiena_T1_3']]], ['0.9926098889844742-121153']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_3'], ['Piena_T1_2'], ['QuasiPiena_T2_3']]], ['0.9925813912115282-111586']]
[[[['QuasiPiena_T0_3,Piena_T0_3,Piena_T0_2,Piena_T0_0'], ['QuasiPiena_T1_3']]], ['0.9925733724244312-97164']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_3,Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9925722172171213-103563']]
[[[['QuasiPiena_T0_0,Piena_T0_1'], ['Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9925654330698672-78235']]
[[[['QuasiPiena_T0_3,Piena_T0_2,Piena_T0_2,Piena_T0_0'], ['QuasiPiena_T1_2']]], ['0.9925461109610236-80827']]
[[[['QuasiPiena_T0_3,Piena_T0_0'], ['Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9925303221454713-79459']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2,Piena_T0_2,Piena_T0_2'], ['QuasiPiena_T1_2']]], ['0.9924967947890584-115345']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1'], ['Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9924589225864465-97126']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_3,Piena_T1_3,Piena_T1_2'], ['QuasiPiena_T2_3']]], ['0.9924291719600492-96086']]
[[[['QuasiPiena_T0_0,Piena_T0_2,Piena_T0_2'], ['Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9924248896482984-104547']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_3,Piena_T1_3,Piena_T1_1'], ['QuasiPiena_T2_3']]], ['0.9924226367104705-74916']]
[[[['QuasiPiena_T0_3,QuasiPiena_T0_3,QuasiPiena_T0_3,Piena_T0_0'], ['QuasiPiena_T2_3']]], ['0.9924152598196977-105460']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_2,Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9924127067471777-113403']]
[[[['Piena_T0_0'], ['Piena_T1_2,Piena_T1_2,Piena_T1_0'], ['QuasiPiena_T2_2']]], ['0.9924075549514927-63525']]
[[[['Piena_T0_0,Piena_T0_1'], ['QuasiPiena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9923740095906524-76777']]
[[[['Piena_T0_3,Piena_T0_0'], ['Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_3']]], ['0.9923672256930106-74498']]
[[[['Piena_T0_2,Piena_T0_2,Piena_T0_0'], ['QuasiPiena_T1_2']]], ['0.9923476789168278-82087']]
[[[['Piena_T0_0'], ['Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9923309490450557-80742']]
[[[['Piena_T0_3,Piena_T0_3,Piena_T0_0'], ['Piena_T1_2'], ['QuasiPiena_T2_3']]], ['0.9923272376803975-79280']]
[[[['Piena_T0_2,Piena_T0_0'], ['Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9922990232907588-79245']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_3,Piena_T0_1'], ['QuasiPiena_T2_3']]], ['0.9922937600221496-86015']]
